Temperature(Celcius),Temperature(K),Entahlpy(H)Hartress,Entropy(J/mol/K)
900,1173.15,-2643.876583,461.472
1000,1273.15,-2643.873448,468.205
1100,1373.15,-2643.870309,474.438
